,Date,Close/Last,Volume,Open,High,Low,Gain or Loss,Next Day,SPY Open,SPY High,SPY Low,SPY Close,SPY Adj Close,SPY Volume,SPY Gain or Loss,SPY Next Day,Quarter,Quarter1,Quarter2,Quarter3,Quarter4,Earnings,iPhone,iPad,Mac,Other
219,04/22/2019,204.53,17841920.0,202.83,204.94,202.34,1.0,1.0,289.17,290.44,289.07,290.27,272.76,40160100.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,04/18/2019,203.86,24185530.0,203.12,204.15,202.52,1.0,1.0,290.1,290.32,288.66,290.02,272.53,68708500.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,04/17/2019,203.13,28865310.0,199.54,203.38,198.61,1.0,1.0,291.4,291.43,288.99,289.45,271.99,58268300.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,04/16/2019,199.25,25668330.0,199.46,201.37,198.56,1.0,1.0,290.95,291.01,289.5,290.16,272.66,52153200.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,04/15/2019,199.23,17524150.0,198.58,199.85,198.01,1.0,1.0,290.24,290.35,289.08,289.97,272.48,49596700.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,04/12/2019,198.87,27738580.0,199.2,200.14,196.21,0.0,1.0,290,290.47,288.26,290.16,272.66,69727800.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,04/11/2019,198.95,20543190.0,200.85,201.0,198.4431,0.0,0.0,288.83,288.84,287.58,288.21,270.83,55093100.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,04/10/2019,200.62,21654750.0,198.68,200.74,198.18,1.0,0.0,287.77,288.39,287.31,288.29,270.9,52601500.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,04/09/2019,199.5,35738280.0,200.32,202.85,199.23,0.0,1.0,287.72,288.08,286.7,287.31,269.98,66142300.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,04/08/2019,200.1,25829880.0,196.42,200.23,196.34,1.0,0.0,288.1,288.91,287.37,288.79,271.37,53566300.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,04/05/2019,197.0,18473070.0,196.45,197.1,195.93,1.0,1.0,287.92,288.63,287.6,288.57,271.17,58621700.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,04/04/2019,195.69,19090050.0,194.79,196.37,193.14,1.0,1.0,286.78,287.46,286.01,287.18,269.86,48997500.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,04/03/2019,195.35,23243160.0,193.25,196.5,193.15,1.0,1.0,287.32,287.76,285.75,286.42,269.15,68243200.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,04/02/2019,194.02,22727370.0,191.09,194.46,191.05,1.0,1.0,286.04,286.23,285.09,285.97,268.72,40070400.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,04/01/2019,191.24,27308200.0,191.64,191.68,188.38,1.0,1.0,284.7,286.16,284.4,285.83,268.59,77617900.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,03/29/2019,189.95,23524830.0,189.83,190.08,188.54,1.0,1.0,282.39,282.84,281.14,282.48,265.44,82186800.0,1.0,1.0,2019Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,03/28/2019,188.72,20710390.0,188.95,189.559,187.53,1.0,1.0,280.35,281.21,279.07,280.71,263.78,56238500.0,1.0,1.0,2019Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,03/27/2019,188.47,29771210.0,188.75,189.76,186.55,1.0,1.0,281.11,281.76,277.93,279.65,262.79,72224700.0,0.0,1.0,2019Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,03/26/2019,186.79,49696100.0,191.664,192.88,184.58,0.0,1.0,280.99,282.18,279.56,281.12,264.17,68125900.0,1.0,0.0,2019Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,03/25/2019,188.74,43751810.0,191.51,191.98,186.6,0.0,0.0,278.87,280.19,277.64,279.04,262.21,85575200.0,0.0,1.0,2019Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,03/22/2019,191.05,42287640.0,195.34,197.69,190.78,0.0,0.0,283.22,283.8,279.18,279.25,262.41,122659300.0,0.0,0.0,2019Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,03/21/2019,195.09,50943120.0,190.02,196.33,189.81,1.0,0.0,280.64,285.18,280.59,284.73,267.56,79550400.0,1.0,0.0,2019Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,03/20/2019,188.16,31003380.0,186.23,189.49,184.73,1.0,1.0,282.16,283.5,280.32,281.55,264.57,84609200.0,0.0,1.0,2019Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,03/19/2019,186.53,31440300.0,188.35,188.99,185.92,0.0,1.0,283.51,284.36,281.41,282.4,265.37,90268100.0,1.0,0.0,2019Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,03/18/2019,188.02,26148590.0,185.8,188.39,185.79,1.0,0.0,281.55,282.66,281.3,282.33,265.3,62199800.0,1.0,1.0,2019Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,03/15/2019,186.12,39017490.0,184.85,187.33,183.74,1.0,1.0,280.54,282.21,280.33,281.31,264.35,81309000.0,0.0,1.0,2019Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,03/14/2019,183.73,23527660.0,183.9,184.1,182.56,1.0,1.0,281.37,281.84,280.67,281.16,263.05,67518400.0,0.0,0.0,2019Q1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
